iter	Passed	Remaining
0	163	32602
1	178	17660
2	195	12867
3	212	10410
4	228	8916
5	246	7963
6	263	7278
7	280	6738
8	310	6590
9	329	6254
10	347	5976
11	364	5709
12	381	5489
13	402	5350
14	421	5195
15	439	5055
16	459	4941
17	480	4857
18	497	4736
19	517	4657
20	534	4559
21	552	4473
22	571	4399
23	590	4329
24	607	4255
25	625	4183
26	643	4123
27	664	4080
28	682	4022
29	698	3957
30	716	3903
31	736	3865
32	755	3824
33	774	3782
34	796	3753
35	813	3707
36	831	3663
37	850	3624
38	870	3594
39	890	3560
40	899	3488
41	917	3451
42	937	3424
43	957	3393
44	974	3356
45	992	3322
46	1012	3294447	1031	3266448	1053	3245449	1070	3210550	1094	3196551	1114	3172552	1133	3143553	1152	3115554	1174	3097555	1194	3072556	1214	3047557	1224	2998558	1243	2970559	1262	294660	1273	2901
661	1300	2895662	1319	2869663	1338	284364	1349	2803
65	1371	2784
66	1391	2762
67	1412	2742
68	1431	2718
69	1451	2695
70	1472	2675
71	1491	2652
72	1514	2634
73	1540	2622
74	1564	2606
75	1583	2582
76	1600	2557
77	1618	2532
78	1641	2513
79	1664	2496
80	1681	2469
81	1700	2446
82	1722	2427
83	1740	2403
84	1760	2382
85	1779	2359
86	1809	2350
87	1826	2325
88	1849	2307
89	1876	2293
90	1894	2268
91	1914	2247
92	1935	2226
93	1956	2206
994	1983	2192995	2004	2171996	2021	2146997	2037	2120998	2054	209699	2061	2061
100	2078	2037
101	2098	2016
1102	2124	20001103	2142	1977104	2150	1946
105	2170	1925
106	2186	1900
107	2203	1876
1108	2229	18611109	2246	18371110	2267	18181111	2283	17941112	2304	17741113	2320	17501114	2336	17261115	2354	17041116	2374	16841117	2390	16611118	2409	16391119	2427	16181120	2444	15961121	2460	15721122	2475	15491123	2493	15281124	2516	15091125	2538	14911126	2556	14691127	2576	14491128	2594	14271129	2612	14061130	2629	1385
131	2646	1363
132	2660	1340
133	2674	1317
134	2689	1294
135	2705	1273
136	2718	1250
137	2732	1227
138	2747	1205
139	2763	1184
140	2777	1162
141	2792	1140
142	2807	1118
143	2820	1096
144	2839	1077
145	2859	1057
146	2872	1035
147	2886	1014
148	2899	992
149	2914	971
150	2926	949
151	2940	928
152	2953	907
153	2967	886
154	2981	865
155	3005	847
156	3021	827
157	3038	807
158	3051	786
159	3064	766
160	3077	745
161	3092	725
162	3105	704
163	3117	684
164	3130	664
165	3143	643
166	3155	623
167	3168	603
168	3181	583
169	3194	563
170	3207	543
171	3220	524
172	3233	504
173	3246	485
174	3259	465
175	3272	446
176	3285	426
177	3299	407
178	3311	388
179	3323	369
180	3336	350
181	3349	331
182	3361	312
183	3375	293
184	3388	274
185	3401	256
186	3413	237
187	3424	218
188	3441	200
189	3459	182
190	3471	163
191	3483	145
192	3495	126
193	3508	108
194	3520	90
195	3531	72
196	3544	53
197	3556	35
198	3572	17
199	3585	0
